GEO_TYPE,GEO_VALUE,Measure,Measure_Short,Weighted_Average,Total_Population,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Ec-Naproxen,Naproxen,952,139647.01,471.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Enbrel,Etanercept,1059,7667083.91,142.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Enbrel Mini,Etanercept,586,4273235.41,76.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Enbrel Sureclick,Etanercept,4374,31606383.33,548.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira,Adalimumab,486,3536577.36,70.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira Pen,Adalimumab,1589,12687305.75,208.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira Pen Psor-Uveits-Adol Hs,Adalimumab,12,164307.36,0.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira(Cf),Adalimumab,779,6299101.17,106.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira(Cf) Pen,Adalimumab,9790,81472846.35,1217.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira(Cf) Pen Crohn's-Uc-Hs,Adalimumab,84,1708856.15,83.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Humira(Cf) Pen Psor-Uv-Adol Hs,Adalimumab,27,363195.22,27.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Ibu,Ibuprofen,3524,9850.45,1321.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Ibuprofen,Ibuprofen,95659,1190463.54,44229.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Medrol,Methylprednisolone,29,214.17,23.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Methylprednisolone,Methylprednisolone,139771,1628035.22,105505.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Naproxen,Naproxen,50460,810456.68,23394.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Prednisone,Prednisone,240651,1565295.63,119842.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Rayos,Prednisone,67,322779.77,18.0
State,Alabama,Arthritis among adults aged >=18 years,Arthritis,29.802001348445604,10079754.0,Remicade,Infliximab,529,3738421.53,106.0
