Year,State,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
2019,Alabama,51734.0,59727.0,35774.0,40438.0,60822.0,,31686.0,49421.0,59966.0,42113.0,0.4741,66171.0,31962.0,40190.0,25958.0,3360058.0,862665.0,176576.0,213757.0,547975.0,38431.0
2020,Alabama,52823.5,61111.5,35916.0,44288.5,72783.5,,36204.0,51169.0,61255.5,43430.0,0.4782,68588.5,33443.5,41024.5,26864.5,3405633.0,882712.0,176551.0,214496.0,560125.5,41770.5
2021,Alabama,53913.0,62496.0,36058.0,48139.0,84745.0,58696.0,40722.0,52917.0,62545.0,44747.0,0.4823,71006.0,34925.0,41859.0,27771.0,3451208.0,902759.0,176526.0,215235.0,572276.0,45110.0
2022,Alabama,59674.0,68168.0,40774.0,62000.0,83281.0,107739.0,49889.0,62694.0,68212.0,54891.0,0.4851,77668.0,36953.0,44443.0,30824.0,3474924.0,874286.0,182869.0,228841.0,609316.0,42908.0
2019,Alaska,75463.0,82171.0,69292.0,48497.0,80274.0,66806.0,57927.0,71403.0,82994.0,68246.0,0.4376,91971.0,40334.0,46001.0,34950.0,484058.0,115044.0,24112.0,38804.0,89583.0,6690.0
2020,Alaska,76654.0,82111.0,65351.5,49694.5,80190.0,66659.5,61057.0,79621.0,83429.0,64731.0,0.4384,93657.5,41148.0,47639.5,36078.0,484918.5,112174.5,25140.0,36847.0,95502.5,6497.0
2021,Alaska,77845.0,82051.0,61411.0,50892.0,80106.0,66513.0,64187.0,87839.0,83864.0,61216.0,0.4392,95344.0,41962.0,49278.0,37206.0,485779.0,109305.0,26168.0,34890.0,101422.0,6304.0
2022,Alaska,88121.0,96000.0,73018.0,53969.0,93212.0,61423.0,83917.0,84416.0,96116.0,86081.0,0.4278,105329.0,47357.0,53127.0,41567.0,489218.0,116008.0,26447.0,33863.0,94168.0,6548.0
2019,Arizona,62055.0,63828.0,51643.0,41040.0,85768.0,60353.0,53522.0,62309.0,67821.0,53061.0,0.4591,74468.0,34397.0,38996.0,30308.0,4944540.0,967328.0,203357.0,384038.0,931038.0,67278.0
2020,Arizona,65555.5,68716.0,53204.0,41718.5,88528.5,75004.0,56305.5,61469.5,71419.0,56311.0,0.46099999999999997,78045.0,36710.0,41405.5,32343.0,4962418.5,967432.5,201938.5,382047.0,958355.5,71770.5
2021,Arizona,69056.0,73604.0,54765.0,42397.0,91289.0,89655.0,59089.0,60630.0,75017.0,59561.0,0.4629,81622.0,39023.0,43815.0,34378.0,4980297.0,967537.0,200520.0,380056.0,985673.0,76263.0
2022,Arizona,74568.0,79606.0,58894.0,48896.0,96288.0,78411.0,66037.0,66284.0,80637.0,65893.0,0.4665,88679.0,42346.0,47810.0,37718.0,5053656.0,996330.0,206616.0,375978.0,1032052.0,73242.0
2019,Arkansas,48952.0,52488.0,33625.0,41263.0,83584.0,56380.0,43207.0,32488.0,52788.0,45874.0,0.475,62387.0,30818.0,35650.0,26457.0,2036456.0,580998.0,129308.0,137073.0,307185.0,18260.0
2020,Arkansas,50740.0,54597.5,34958.5,44725.5,84482.0,52109.0,44794.5,43702.0,54817.5,48743.5,0.47505,64267.5,32343.5,36931.0,28062.0,2037109.5,576939.5,125744.5,137341.0,315661.0,20017.5
2021,Arkansas,52528.0,56707.0,36292.0,48188.0,85380.0,47838.0,46382.0,54916.0,56847.0,51613.0,0.4751,66148.0,33869.0,38212.0,29667.0,2037763.0,572881.0,122181.0,137609.0,324137.0,21775.0
2022,Arkansas,55432.0,60595.0,35703.0,62518.0,83200.0,37736.0,53528.0,55609.0,60593.0,54314.0,0.4799,70708.0,36761.0,42081.0,31520.0,2057624.0,583402.0,122268.0,146309.0,323961.0,23987.0
2019,California,80440.0,82706.0,55140.0,57620.0,104138.0,83875.0,61687.0,81145.0,92154.0,63633.0,0.4866,91377.0,39549.0,44242.0,32406.0,26937872.0,4926010.0,620701.0,1523559.0,5889724.0,465535.0
2020,California,82673.5,88343.5,57038.0,63304.0,106906.5,81431.5,63903.5,79249.0,94360.0,66857.0,0.4895,94382.5,40720.0,46411.0,34317.0,26923870.5,4917954.0,644900.0,1580284.5,5923877.0,488363.0
2021,California,84907.0,93981.0,58936.0,68988.0,109675.0,78988.0,66120.0,77353.0,96566.0,70081.0,0.4924,97388.0,41891.0,48580.0,36228.0,26909869.0,4909898.0,669099.0,1637010.0,5958030.0,511191.0
