State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
Mississippi,2019,45792,57191,31067,27964,51277,-666666666,42465,42445,57553,37372,0.4896,58503,29341,34908,24972,1979664,470174,128435,110712,270712,19844
Missouri,2019,57409,60756,39102,31186,75505,48300,47432,49751,60954,50839,0.4633,73457,34558,40522,29965,4206162,1108345,200514,297889,775808,55940
Montana,2019,57153,58934,41530,32100,48209,-666666666,60331,46687,59306,46458,0.4597,73014,31313,37976,25500,741950,175333,35746,50303,171309,10567
Nebraska,2019,63229,65462,39137,50588,52444,133203,59894,51338,66790,51006,0.4400,80062,36077,41536,30661,1271770,282195,44194,94746,277159,16959
Nevada,2019,63276,67415,43976,58939,70060,71618,54525,63158,70293,54922,0.4710,76124,35526,39335,31354,2136466,501540,91877,157547,355837,24233
New Hampshire,2019,77933,77519,80814,,110531,-666666666,55638,80420,78076,62535,0.4406,97112,40984,48693,33514,979750,232289,42816,58054,224636,13391
New Jersey,2019,85751,91764,56301,72816,126278,,57506,77358,98092,61624,0.4782,105705,45513,52345,37256,6191229,1518321,148000,300667,1555781,108075
New Mexico,2019,51945,54315,45764,39019,56697,68684,41304,52252,61429,45049,0.4768,61826,30276,35175,25617,1425988,309449,66941,88210,221281,27784
New York,2019,72108,80589,51146,44104,81383,44106,48234,68888,81997,53350,0.5149,89475,41492,47239,36555,13664734,2981084,543108,640783,2898440,212631
North Carolina,2019,57341,63887,41177,39887,91170,41579,45323,47423,65244,46933,0.4743,72049,33205,38228,29690,7187077,1537065,301977,435870,1471420,102558
North Dakota,2019,64577,68431,34101,36156,37393,,36815,57250,69025,51960,0.4558,87055,37398,45899,30808,504375,112015,22417,33313,108527,6384
Ohio,2019,58642,62550,34955,38510,85309,,42939,42267,63104,45076,0.4651,74911,34852,41358,28819,8049805,2314611,313147,546790,1464945,91368
Oklahoma,2019,54449,58300,36234,47878,54552,38462,38403,49738,59370,45956,0.4739,68358,32323,40259,26914,2619244,685190,140094,186398,447888,28683
Oregon,2019,67058,67845,47181,52652,82016,77302,57814,61002,68593,60597,0.4500,82540,35643,41243,30688,2988118,561087,126156,234012,627911,57782
Pennsylvania,2019,63463,67702,39680,38565,80840,52996,35894,51647,68267,44260,0.4745,81075,37000,44105,30813,9028036,2758116,344930,495732,1761627,138286
Rhode Island,2019,71169,74544,46398,,95356,-666666666,42064,53327,76544,44939,0.4628,89373,39145,45787,34812,746952,178974,33308,42163,156087,12726
South Carolina,2019,56227,65506,37327,37041,76738,83085,43849,55782,66035,48311,0.4747,70537,32373,39893,27579,3563204,859406,155854,218906,656496,38939
South Dakota,2019,59533,62128,52246,29515,50813,28953,50726,55685,62384,44895,0.4360,76826,32908,40152,28766,588029,152869,23775,36972,121231,6594
Tennessee,2019,56071,60249,40768,42444,85209,58571,43062,50905,60678,46126,0.4749,69993,32604,39010,28699,4693962,1214437,266316,298703,845100,68410
Texas,2019,64034,67904,47428,57175,91706,56932,48058,60222,78905,52010,0.4753,76727,35329,41239,29029,18772550,3924228,810194,1149880,3750797,222187
Vermont,2019,63001,63425,37355,65060,69175,43947,148481,49217,63672,37394,0.4471,83458,35474,40185,31360,445558,115058,14196,22935,101015,7322
Utah,2019,75780,77772,38021,50787,76492,73424,58713,62654,79843,61506,0.4268,86152,33396,44749,25596,1911592,384357,57849,143885,448109,27402
Virginia,2019,76456,82107,53896,70849,109876,80324,61587,71821,82612,69220,0.4690,93497,40405,46552,33628,5872757,1156419,231191,354535,1312800,115370
Washington,2019,78687,79556,56250,51307,109146,78130,56605,71873,80952,59350,0.4577,94709,41735,50447,34172,5290324,955541,211806,395512,1204728,89712
